/* This file is the Observation log for Macros that were executed by the 
/* NEAR XGRS instrument system.  A description of each record can be found
/* in the XGRS_COMMAND_DESC.TXT and XGRS_INST_USER_GUIDE4.TXT document.
/*
XGRS_Command_#ID,XGRS_Command,XGRS_Mode,YEAR,DOY,HH:MM:SS,PARM  #1,PARM #2,PARM #3,PARM #4,PARM #4,PARM #5,PARM #6
XGRQ_04,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,153,14:26.4,510,4,5,0,0
XGRQ_04,XGRS_RELEASE_ATTITUDE,RELEASE_ATTITUDE,2000,153,59:00.4,,,,,
XGRQ_05,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,153,3:43:15,510,4,5,0,0
XGRQ_05,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,153,7:03:30,510,5,-3.97,4.17,5.21
XGRQ_05,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,153,8:18:30,510,5,12.01,-1.01,4.88
XGRQ_05,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,153,9:28:30,510,4,1,0,0
XGRQ_05,XGRS_RELEASE_ATTITUDE,RELEASE_ATTITUDE,2000,153,11:07:00,,,,,
XGRQ_06,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,153,14:29.8,510,5,6.38,0.24,6.07
XGRQ_06,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,153,43:29.8,510,4,5,0,0
XGRQ_06,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,154,48:29.8,510,5,-15.66,-2.6,2.89
XGRQ_06,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,154,23:29.8,510,4,5,0,0
XGRQ_06,XGRS_RELEASE_ATTITUDE,RELEASE_ATTITUDE,2000,154,58:59.8,,,,,
XGRQ_07,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,154,3:43:15,510,4,5,0,0
XGRQ_07,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,154,9:38:30,510,5,9.85,3.73,3.44
XGRQ_07,XGRS_RELEASE_ATTITUDE,RELEASE_ATTITUDE,2000,154,11:07:00,,,,,
XGRQ_08,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,154,14:33.4,510,4,5,0,0
XGRQ_08,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,155,33:30.4,510,5,14.3,-6.53,4.01
XGRQ_08,XGRS_RELEASE_ATTITUDE,RELEASE_ATTITUDE,2000,155,59:00.4,,,,,
XGRQ_09,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,155,3:43:15,510,5,-2.51,1.23,6.27
XGRQ_09,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,155,5:13:30,510,4,5,0,0
XGRQ_09,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,155,6:13:30,510,5,14.4,-3.28,3.74
XGRQ_09,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,155,7:43:30,510,4,5,0,0
