Observation Name,High-gain pass DSS Sta. ,Ownr,Date,DOY,"Strt, UT", Dur,"End, UT",Pr'ty,Bits/ pixel,# imgs,Filters,Est.  comp.,Mbits,P/B (hrs @17.6 kb/s),week,Description,Status
Opnav C N3,,NAV,03-Jan,3,23:00,0:12,23:12,F,8,5,0,2.5,3.10,0.1,99002,OPNC_N3:1x1 followed by 2x2 autoexp.,done
,14,,04-Jan,4,17:15,7:45,1:00,,,,,,,,,,
Opnav A N4,,NAV,05-Jan,5,0:50,0:11,1:01,F,12,16,0,1,24.80,0.4,99002,OPNA_N4:16 frames slewing across 2 pixels.  Man exp (999ms).,done
Opnav B Prime N4,,NAV,05-Jan,5,1:05,0:12,1:17,F,12,8,0,2.5,4.96,0.1,99002,"OPNB_N4:8 clr filter images exposed for Eros, 3 exposed for stars (1 999 ms, 3 auto, 2 short, 2 999ms)",done
Opnav C N4,,NAV,05-Jan,5,1:20,0:12,1:32,F,8,5,0,2.5,3.10,0.1,99002,OPNC_N4:1x1 followed by 2x2 autoexp.,done
,63,,05-Jan,5,10:45,8:00,18:45,,,,,,,,,,
,14,,06-Jan,6,17:00,8:00,1:00,,,,,,,,,,
Opnav A N5,,NAV,07-Jan,7,1:00,0:11,1:11,F,12,16,0,1,24.80,0.4,99002,OPNA_N5:16 frames slewing across 2 pixels.  Man exp (999ms).,done
Opnav B Prime N5,,NAV,07-Jan,7,1:10,0:12,1:22,F,12,8,0,2.5,4.96,0.1,99002,"OPNB_N5:8 clr filter images exposed for Eros, 3 exposed for stars (1 999 ms, 3 auto, 2 short, 2 999ms)",done
Opnav C N5,,NAV,07-Jan,7,1:21,0:12,1:33,F,8,5,0,2.5,3.10,0.1,99002,OPNC_N5:1x1 followed by 2x2 autoexp.,done
,63,,07-Jan,7,10:30,8:10,18:40,,,,,,,,,,
,15,,08-Jan,8,14:45,10:15,1:00,,,,,,,,,,
,63,,09-Jan,9,15:00,18:00,9:00,,,,,,,,,,
,63,,10-Jan,10,16:50,1:50,18:40,,,,,,,,,,
,63,,11-Jan,11,11:05,7:25,18:30,,,,,,,,,,
,54,,13-Jan,13,13:30,7:00,20:30,,,,,,,,,,
,34,,14-Jan,14,2:45,2:45,5:30,,,,,,,,,,
,65,,15-Jan,15,13:30,7:00,20:30,,,,,,,,,,
,54,,18-Jan,18,11:05,6:10,17:15,,,,,,,,,,
