Observation Name,High-gain pass DSS Sta. ,Ownr,Date,DOY,"Strt, UT", Dur,"End, UT",Pr'ty,Bits/ pixel,# imgs  or       # spec,Seq.     IDs,Filters,Est.  comp.,Mbits,P/B (hrs @8.8 kb/s),P/B (hrs @17.6 kb/s),P/B (hrs @26.4 kb/s),week,Target,Description,Status
Daily Global 066,,NAV,06-Mar,066,13:00,00:30,13:30,,8,16,18,4,2.5,9.92,0.3,0.2,0.1,00059,Eros,DailyGlobal_066: 4x4 in filter 4 (TABLE 5 + FAST),done
NIS Daily Global 066,,NAV,06-Mar,066,13:00,00:30,13:30,,,140,8,,,0.16,0.0,0.0,0.0,00059,Eros,NIS_DailyGlobal_066: 4x7 mosaics during above slew,done
 Opnav 66c KL3,,NAV,06-Mar,066,15:40,00:21,16:01,T,8,12,27,4,2.5,14.88,0.5,0.3,0.2,00059,Eros,3x4 mosaic in filter 4 (TABLE 5 + FAST),done
70m  track (26.4 kb/s),43,,06-Mar,066,16:05,06:30,22:35,,,,,,,289.87,10.17,5.07,3.39,,,,
Total images for week,,,,,,,,,,1368,,,,,,,,,,,
Opnav 66d N3,,NAV,06-Mar,66,22:35,0:25,23:00,,8,16,18,4,3,8.27,0.3,0.1,0.1,00066,Eros,4x4 mosaic in filter 4 (TABLE5+FAST),done
Flyover 1,,MSI,07-Mar,67,3:00,1:47,4:47,,8,150,1,4,3,77.49,2.7,1.4,0.9,00066,Eros,one filter 4 image every 38 seconds (TABLE6+FAST),done
Opnav 67a N3,,NAV,07-Mar,67,7:00,0:25,7:25,,8,16,18,4,3,8.27,0.3,0.1,0.1,00066,Eros,4x4 mosaic in filter 4 (TABLE5+FAST),done
Opnav 67b H3,,NAV,07-Mar,67,11:25,0:20,11:45,,8,9,18,4,3,4.65,0.2,0.1,0.1,00066,Eros,3x3 mosaic in filter 4 (TABLE5+FAST),done
34 Meter (8.8 kb/s),43,,07-Mar,67,11:40,8:15,19:55,,,,,,,98.67,3.46,1.73,1.15,,,,
Opnav 67b M3,,NAV,07-Mar,67,19:55,0:25,20:20,,8,12,18,4,3,6.20,0.2,0.1,0.1,00066,Eros,4x3 mosaic in filter 4 (TABLE5+FAST),done
Star Calibration 067,,NAV,07-Mar,67,20:25,00:25,20:50,,12,4,29,0,2.5,2.48,0.0,0.0,0.0,00066,undefined,"Point 90 deg off-NADIR, 4 seq 29, return (FAST)",done
Flyover 2,,MSI,07-Mar,67,21:25,1:07,22:32,,8,90,1,4,3,46.49,1.6,0.8,0.5,00066,Eros,one filter 4 image every 38 seconds (TABLE6+FAST),done
Equatorial Lon1 (5S),,MSI,07-Mar,67,22:33,5:39,4:12,,8,288,18,4,3,148.78,5.2,2.6,1.7,00066,Eros,3x2 in filter 4 every15 deg for 1 rotation,done
Opnav 68a N3,,NAV,08-Mar,68,4:05,0:25,4:30,,8,16,18,4,3,8.27,0.3,0.1,0.1,00066,Eros,4x4 mosaic in filter 4 (TABLE5+FAST),done
